PRESSURE
    0.24227236E+04   0.24380322E+04   0.24547361E+04   0.24758660E+04
   0.24993992E+04   0.25257261E+04   0.25545728E+04   0.25868342E+04
   0.26236963E+04   0.26626086E+04   0.27518340E+04   0.29114170E+04
   0.31050769E+04   0.32656692E+04   0.34073936E+04   0.35220400E+04
   0.35864270E+04   0.36361338E+04   0.36830007E+04   0.37195205E+04
   0.37648533E+04   0.38063782E+04   0.38469590E+04   0.38799944E+04
   0.23988137E+04   0.24156050E+04   0.24354761E+04   0.24597173E+04
   0.24865239E+04   0.25077959E+04   0.25357808E+04   0.25741758E+04
   0.26198042E+04   0.26679492E+04   0.27484019E+04   0.28903062E+04
   0.30377698E+04   0.31866111E+04   0.33361187E+04   0.34551543E+04
   0.35717991E+04   0.36502512E+04   0.37040005E+04   0.37363879E+04
   0.37782214E+04   0.38210618E+04   0.38570574E+04   0.38860095E+04
   0.23740957E+04   0.23826069E+04   0.23967688E+04   0.24195869E+04
   0.24418079E+04   0.24668354E+04   0.24979297E+04   0.25417483E+04
   0.25980774E+04   0.26480808E+04   0.27398306E+04   0.28577036E+04
   0.29846882E+04   0.31293335E+04   0.32795664E+04   0.33973745E+04
   0.35117014E+04   0.36220862E+04   0.37065542E+04   0.37483284E+04
   0.37916060E+04   0.38373682E+04   0.38782563E+04   0.39119370E+04
   0.23554504E+04   0.23590808E+04   0.23662583E+04   0.23765679E+04
   0.23844229E+04   0.24004067E+04   0.24244541E+04   0.24579526E+04
   0.25156519E+04   0.25826204E+04   0.27160813E+04   0.28434832E+04
   0.29845920E+04   0.31339502E+04   0.32765916E+04   0.33922368E+04
   0.35073801E+04   0.36210867E+04   0.37083293E+04   0.37576887E+04
   0.38103130E+04   0.38589434E+04   0.38978123E+04   0.39313286E+04
   0.23339514E+04   0.23373682E+04   0.23402498E+04   0.23401257E+04
   0.23341003E+04   0.23293101E+04   0.23234512E+04   0.23272720E+04
   0.23970962E+04   0.24851355E+04   0.26248770E+04   0.28007136E+04
   0.29524211E+04   0.31109170E+04   0.32837180E+04   0.34303335E+04
   0.35447305E+04   0.36347676E+04   0.37045393E+04   0.37525457E+04
   0.38042329E+04   0.38558806E+04   0.39021104E+04   0.39389104E+04
   0.22977563E+04   0.23024817E+04   0.22985676E+04   0.22921448E+04
   0.22806699E+04   0.22555681E+04   0.22237988E+04   0.22055786E+04
   0.23281418E+04   0.24434944E+04   0.25473020E+04   0.26708728E+04
   0.28436494E+04   0.30479980E+04   0.32418250E+04   0.34036394E+04
   0.35278921E+04   0.36202219E+04   0.36904219E+04   0.37333220E+04
   0.37773955E+04   0.38165999E+04   0.38505996E+04   0.38786458E+04
   0.21734194E+04   0.22031289E+04   0.22257473E+04   0.22379199E+04
   0.22222139E+04   0.21758389E+04   0.21278206E+04   0.22234409E+04
   0.23369282E+04   0.24327175E+04   0.25400312E+04   0.26388364E+04
   0.27555649E+04   0.29295432E+04   0.31488997E+04   0.33296316E+04
   0.34920525E+04   0.36004521E+04   0.36708809E+04   0.37066553E+04
   0.37405425E+04   0.37662231E+04   0.37837407E+04   0.38043132E+04
   0.20270057E+04   0.20407742E+04   0.20496995E+04   0.20576609E+04
   0.20522410E+04   0.20069453E+04   0.20959319E+04   0.22092798E+04
   0.23120115E+04   0.24022412E+04   0.24884312E+04   0.26026692E+04
   0.27352102E+04   0.28977554E+04   0.30922773E+04   0.32796594E+04
   0.34297207E+04   0.35397917E+04   0.36151143E+04   0.36590056E+04
   0.36980466E+04   0.37204512E+04   0.37341548E+04   0.37495842E+04
   0.19206771E+04   0.19182792E+04   0.19159276E+04   0.19082109E+04
   0.19191388E+04   0.19870780E+04   0.20672053E+04   0.21560427E+04
   0.22555542E+04   0.23705190E+04   0.24559094E+04   0.25764299E+04
   0.27244551E+04   0.28998118E+04   0.30655437E+04   0.31965525E+04
   0.33394812E+04   0.34407649E+04   0.35189688E+04   0.35631294E+04
   0.36108206E+04   0.36524695E+04   0.36852334E+04   0.37137996E+04
   0.19030287E+04   0.19030001E+04   0.18920520E+04   0.18208452E+04
   0.19019709E+04   0.19606940E+04   0.20189208E+04   0.20794104E+04
   0.21483433E+04   0.22453777E+04   0.23368621E+04   0.25301113E+04
   0.27250784E+04   0.29223352E+04   0.30830239E+04   0.31929834E+04
   0.32820469E+04   0.33506245E+04   0.34146948E+04   0.34732466E+04
   0.35473228E+04   0.36136802E+04   0.36635952E+04   0.37011641E+04
   0.19047495E+04   0.19028717E+04   0.18972697E+04   0.18808418E+04
   0.18936091E+04   0.19007549E+04   0.19056299E+04   0.19151362E+04
   0.19488198E+04   0.21065784E+04   0.22825815E+04   0.24814165E+04
   0.27356655E+04   0.29249509E+04   0.30618560E+04   0.31613462E+04
   0.32449067E+04   0.33057485E+04   0.33690854E+04   0.34292388E+04
   0.35112383E+04   0.35840962E+04   0.36382107E+04   0.36778748E+04
   0.19800790E+04   0.19627219E+04   0.19342122E+04   0.19022678E+04
   0.18721873E+04   0.18254458E+04   0.17746522E+04   0.17435736E+04
   0.17389418E+04   0.18946583E+04   0.20826648E+04   0.23202476E+04
   0.25944636E+04   0.28274021E+04   0.29949465E+04   0.31286699E+04
   0.32394707E+04   0.33109009E+04   0.33755637E+04   0.34273354E+04
   0.34912190E+04   0.35504863E+04   0.35936909E+04   0.36266140E+04
   0.20115618E+04   0.19997693E+04   0.19663414E+04   0.19124574E+04
   0.18485056E+04   0.17890035E+04   0.17266014E+04   0.16841069E+04
   0.17671396E+04   0.18683333E+04   0.20032076E+04   0.22174324E+04
   0.25125149E+04   0.27546133E+04   0.29457424E+04   0.31202944E+04
   0.32943562E+04   0.33761475E+04   0.34242324E+04   0.34475906E+04
   0.34993320E+04   0.35442524E+04   0.35769077E+04   0.36008101E+04
